Cik,Ticker,MultipleTickers,CompanyName
"1140102","CCNI","CCNI","Command Center, Inc."
"1290900","CVGI","CVGI","Commercial Vehicle Group, Inc."
"803649","EQC","EQC,EQCO","Equity Commonwealth"
"1351901",,,"Commonwealth Income & Growth Fund VI"
"1450335",,,"Commonwealth Income & Growth Fund VII, LP"
"1323648","ESXB","ESXB","Community Bankers Trust Corp"
"1528061",,,"Community Choice Financial Inc."
"764811","COB","COB","CommunityOne Bancorp"
"1345126","CODI","CODI","Compass Diversified Holdings"
"1345122",,,"Compass Group Diversified Holdings LLC"
"1449488","CCLP","CCLP","CSI Compressco LP"
"1299969","CHCI","CHCI","Comstock Holding Companies, Inc."
"1120970","LODE","LODE","Comstock Mining Inc."
"23675",,,"Con-way Inc."
"1383701","CNAT","CNAT","Conatus Pharmaceuticals Inc."
"1353523",,,"Congaree Bancshares Inc"
"1462694","CNOB","CNOB","ConnectOne Bancorp, Inc."
"1304421","CNSL","CNSL","Consolidated Communications Holdings, Inc."
"1392960",,,"MONGOLIA HOLDINGS, INC."
"1405277","CTCT","CTCT","Constant Contact, Inc."
"1362705","CEP","CEP,SPP","Constellation Energy Partners LLC"
"1439299",,,"Consumer Capital Group, Inc."
"1592480","CBPX","CBPX","Continental Building Products, Inc."
"1571274",,,"Continental Cement Company, L.L.C."
"1320461","CPS","CPS","Cooper-Standard Holdings Inc."
"1347652","CORR","CORR","CorEnergy Infrastructure Trust, Inc."
"1289496",,,"Cord Blood America, Inc."
"1466292","BVA","BVA","Cordia Bancorp Inc"
"1318084","CORE","CORE","Core-Mark Holding Company, Inc."
"1490892","COR","COR","CoreSite Realty Corp"
"1401680","CSOD","CSOD","Cornerstone OnDemand Inc"
"1387637",,,"Corporate Backed Callable Trust Certificates, J.C. Penney De"
"1379404",,,"Corporate Backed Callable Trust Certificates, J.C. Penny Deb"
"1494538",,,"Corporate Capital Trust, Inc."
"1577966",,,"Corporate Office Properties, L.P."
"1390213",,,"Corporate Property Associates 17 - Global INC"
"1485594",,,"Corruven, Inc."
"1290658",,,"Gotham Capital Holdings, Inc."
"1136352","CEQP","CEQP","Crestwood Equity Partners LP"
"1304464","CMLP","CMLP","Crestwood Midstream Partners LP"
"1075736",,,"Crexendo, Inc."
"1562151",,,"Crimson Wine Group, Ltd"
"1334036","CROX","CROX","Crocs, Inc."
"1103833",,,"Crown Equity Holdings, Inc."
"1476719",,,"Crumbs Bake Shop, Inc."
"1298675","CUBE","CUBE","CubeSmart"
"1300485",,,"CubeSmart, L.P."
"1471256",,,"Cullen Agricultural Holding Corp"
"1488813","CUBI","CUBI,CUBS","Customers Bancorp, Inc."
"1381240",,,"Cyberspace Vita, Inc."
"1130166","CYCC","CYCC,CYCCP","Cyclacel Pharmaceuticals, Inc."
"1042074","CBAY","CBAY","CymaBay Therapeutics, Inc."
"1587246","CELP","CELP","Cypress Energy Partners, L.P."
"1553023","CONE","CONE","CyrusOne Inc."
"1575810",,,"CyrusOne LP"
"1562107",,,"Accurexa Inc."
"1175151","CTSO","CTSO","Cytosorbents Corp"
"1125699",,,"DAIS ANALYTIC CORP"
"1367311",,,"DAKOTA PLAINS HOLDINGS, INC."
"1094032",,,"DALE JARRETT RACING ADVENTURE INC"
"746967","DLOV","DLOV","DALECO RESOURCES CORP"
"26780","DAN","DAN","DANA INC"
"313616","DHR","DHR","DANAHER CORP /DE/"
"919745","DARA","DARA","DARA BioSciences, Inc."
"916540","DAR","DAR","DARLING INGREDIENTS INC."
"351998","DAIO","DAIO","DATA I/O CORP"
"1056923","DTLK","DTLK","DATALINK CORP"
"277638",,,"DAVEY TREE EXPERT CO"
"927066","DVA","DVA","DAVITA HEALTHCARE PARTNERS INC."
"27430",,,"DAYTON POWER & LIGHT CO"
"1527531",,,"DBUBS 2011-LC3 Mortgage Trust"
"1361025",,,"DCP Holding CO"
"1338065","DPM","DPM","DCP Midstream Partners, LP"
"1170991","DCT","DCT","DCT Industrial Trust Inc."
"894315","DDR","DDR","DDR CORP"
"931336","DF","DF","DEAN FOODS CO"
"910521","DECK","DECK","DECKERS OUTDOOR CORP"
"95047","DVLY","DVLY","DEER VALLEY CORP"
"812630",,,"DEL TACO INCOME PROPERTIES IV"
"711213",,,"DEL TACO RESTAURANT PROPERTIES I"
"749153",,,"DEL TACO RESTAURANT PROPERTIES II"
"786360",,,"DEL TACO RESTAURANT PROPERTIES III"
"872912","DCTH","DCTH","DELCATH SYSTEMS, INC."
"27879",,,"DELMARVA POWER & LIGHT CO /DE/"
"27904","DAL","DAL","DELTA AIR LINES INC /DE/"
"1086740","DDDC","DDDC","DELTATHREE INC"
"1022469","DEL","DEL","DELTIC TIMBER CORP"
"27996","DLX","DLX","DELUXE CORP"
"1365038","LFGR","LFGR","LEAF GROUP LTD."
"945764","DNR","DNR","DENBURY RESOURCES INC"
"1107332","DNDN","DNDN","DENDREON CORP"
"852772","DENN","DENN","DENNYS CORP"
"818479","XRAY","XRAY","DENTSPLY SIRONA Inc."
"1005201","DEPO","DEPO","DEPOMED INC"
"892160","DSCI","DSCI","DERMA SCIENCES, INC."
"813298","DXLG","DXLG","DESTINATION XL GROUP, INC."
"351397",,,"DETONICS SMALL ARMS LTD"
"1090012","DVN","DVN","DEVON ENERGY CORP/DE"
"1556739",,,"DEX MEDIA, INC."
"1093557","DXCM","DXCM","DEXCOM INC"
"701719","DGSE","DGSE","DGSE COMPANIES INC"
"1370804",,,"MEDICAL IMAGING CORP."
"909108","DHIL","DHIL","DIAMOND HILL INVESTMENT GROUP INC"
"949039","DO","DO","DIAMOND OFFSHORE DRILLING INC"
"1393883","DHX","DHX","DICE HOLDINGS, INC."
"1089063","DKS","DKS","DICKS SPORTING GOODS INC"
"28823","DBD","DBD","DIEBOLD INC"
"707388","DRAD","DRAD","DIGIRAD CORP"
"1342958","DGLY","DGLY","DIGITAL ALLY INC"
"896493","DPW","DPW","DIGITAL POWER CORP"
"1062530","DRIV","DRIV","DIGITAL RIVER INC /DE"
"1208208","DGI","DGI","DIGITALGLOBE, INC."
"28917","DDS","DDS,DDT","DILLARDS INC"
"1005409","DCOM","DCOM","DIME COMMUNITY BANCSHARES INC"
"29002","DIOD","DIOD","DIODES INC /DEL/"
"879703",,,"DIRECT INSITE CORP"
"1465112","DTV","DTV","DIRECTV"
"894329",,,"DISCOVER CARD MASTER TRUST I"
"1042642",,,"DISH DBS CORP"
"1001082","DISH","DISH","DISH Network CORP"
"825788",,,"DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP"
"1095007",,,"DIVERSIFIED 2000 FUTURES FUND L.P."
